Gene	ID	Tumor	Normal	log2FC	Qvalue					
AC003090.1	ENSG00000223561.6	0.110	1.220	-1.000	1.58e-70
AC003973.3	ENSG00000279377.1	0.060	1.670	-1.333	2.40e-79
AC005083.1	ENSG00000233834.6	4.040	0.290	1.966	3.35e-115
AC005104.3	ENSG00000223374.1	0.750	3.210	-1.266	1.60e-81
AC005154.6	ENSG00000196295.11	12.250	41.240	-1.673	1.28e-72
AC005154.7	ENSG00000244480.1	0.310	2.040	-1.215	2.47e-113
AC005255.3	ENSG00000256210.3	5.590	0.000	2.720	5.05e-137
AC005355.2	ENSG00000251169.2	5.650	0.700	1.968	1.08e-33
AC005519.4	ENSG00000258559.2	0.580	2.510	-1.152	2.87e-79
AC005682.5	ENSG00000228649.8	0.340	2.730	-1.477	6.37e-68
AC005786.7	ENSG00000267436.1	1.680	0.300	1.044	2.60e-9
AC005943.2	ENSG00000267059.2	5.410	0.000	2.680	6.38e-45
AC005944.2	ENSG00000267469.1	8.210	24.800	-1.486	9.00e-25
AC006128.2	ENSG00000279716.1	1.620	9.620	-2.019	2.17e-89
AC006942.4	ENSG00000269194.1	0.270	2.010	-1.245	9.51e-102
AC007009.1	ENSG00000244239.1	5.890	1.080	1.728	3.16e-61
AC007255.8	ENSG00000223813.2	3.030	0.940	1.055	4.67e-20
AC007326.1	ENSG00000279560.1	1.150	3.390	-1.030	8.72e-29
AC007566.10	ENSG00000244055.1	0.690	3.650	-1.460	9.93e-87
AC009005.2	ENSG00000267751.5	5.010	1.880	1.061	5.35e-45
AC009065.4	ENSG00000279473.1	6.190	0.000	2.846	1.22e-176
AC009120.6	ENSG00000259972.2	4.150	11.450	-1.273	1.15e-60
AC009299.3	ENSG00000227403.1	2.380	0.200	1.494	2.43e-79
AC009501.4	ENSG00000231609.5	0.230	1.720	-1.145	3.66e-88
AC009948.5	ENSG00000223960.6	1.960	5.300	-1.090	2.19e-47
AC010226.4	ENSG00000249249.1	0.420	2.110	-1.131	1.16e-82
AC011558.5	ENSG00000279753.1	41.871	18.830	1.112	1.75e-18
AC011737.2	ENSG00000204196.5	38.969	12.370	1.580	1.85e-103
AC012065.1	ENSG00000279307.1	2.150	0.410	1.160	2.30e-128
AC016292.3	ENSG00000108958.4	2.250	0.410	1.205	7.56e-127
AC016735.1	ENSG00000224739.2	1.120	0.000	1.084	6.22e-64
AC016757.3	ENSG00000186235.10	0.100	1.600	-1.241	5.13e-83
AC016995.3	ENSG00000231367.5	0.060	2.170	-1.580	2.37e-70
AC017104.6	ENSG00000224376.1	0.420	2.170	-1.159	8.45e-65
AC017116.11	ENSG00000239775.1	0.840	3.010	-1.124	1.16e-51
AC018462.3	ENSG00000242735.1	0.000	1.080	-1.057	2.25e-48
AC018738.2	ENSG00000237039.1	2.010	0.270	1.245	2.30e-32
AC018766.4	ENSG00000267896.1	2.700	8.710	-1.392	1.42e-66
AC021218.2	ENSG00000204876.4	7.650	0.010	3.098	2.96e-171
AC024560.3	ENSG00000214135.8	7.370	25.149	-1.643	4.34e-85
AC025165.8	ENSG00000224713.4	0.060	4.530	-2.383	2.77e-101
AC026150.8	ENSG00000260693.1	0.200	1.470	-1.041	1.66e-99
AC034220.3	ENSG00000233006.6	2.450	6.040	-1.029	7.94e-66
AC053503.12	ENSG00000280323.1	0.010	5.350	-2.652	2.15e-75
AC053503.6	ENSG00000234638.1	0.000	3.450	-2.154	4.98e-68
AC073130.3	ENSG00000243243.5	0.020	1.640	-1.372	2.64e-65
AC073283.4	ENSG00000234690.6	3.220	1.080	1.021	2.03e-29
AC074289.1	ENSG00000225889.7	0.530	3.710	-1.622	8.09e-96
AC078941.1	ENSG00000236780.5	0.040	1.280	-1.132	5.78e-54
AC079922.2	ENSG00000231747.1	1.610	0.250	1.062	4.25e-93
AC079922.3	ENSG00000237753.1	0.680	2.750	-1.158	6.86e-67
AC083843.1	ENSG00000259820.1	0.750	2.640	-1.057	8.94e-79
AC083843.4	ENSG00000279518.1	0.140	1.350	-1.044	2.50e-106
AC093110.3	ENSG00000238018.2	0.810	4.760	-1.670	2.16e-99
AC093495.4	ENSG00000228242.6	1.150	6.010	-1.705	2.13e-96
AC093642.3	ENSG00000237940.3	0.430	2.260	-1.189	6.97e-53
AC106876.2	ENSG00000222001.2	12.010	0.920	2.760	1.97e-66
AC108488.4	ENSG00000242282.6	2.170	8.470	-1.579	4.17e-58
AC114730.11	ENSG00000235351.1	0.380	1.810	-1.026	2.59e-73
AC114730.3	ENSG00000224272.2	3.740	1.170	1.127	7.00e-6
AC123023.1	ENSG00000236452.1	1.060	0.000	1.043	2.60e-98
AC132217.4	ENSG00000240801.1	5.880	19.149	-1.550	3.80e-8
AC137934.1	ENSG00000260923.5	1.240	4.140	-1.198	8.24e-28
AC138035.2	ENSG00000238035.8	1.990	8.420	-1.656	1.88e-73
AC144530.1	ENSG00000234742.1	1.750	0.290	1.092	2.88e-108
AC156455.1	ENSG00000256546.1	2.300	6.290	-1.143	3.91e-15
AC159540.1	ENSG00000230606.10	7.690	20.090	-1.279	4.92e-27
AC239868.2	ENSG00000280874.1	10.450	3.830	1.245	2.61e-12
AC239868.3	ENSG00000281134.1	10.450	3.830	1.245	2.61e-12
ACACB	ENSG00000076555.15	3.080	33.351	-3.074	6.10e-142
ACAD11	ENSG00000240303.7	3.690	17.179	-1.955	8.00e-76
ACADVL	ENSG00000072778.19	224.846	670.502	-1.572	8.49e-57
ACAN	ENSG00000157766.15	3.510	0.180	1.934	6.87e-145
ACAP3	ENSG00000131584.18	13.430	47.619	-1.752	1.01e-65
ACAT2	ENSG00000120437.8	28.281	8.850	1.572	2.44e-49
ACBD4	ENSG00000181513.14	7.330	19.601	-1.306	1.69e-88
ACBD5	ENSG00000107897.18	18.030	8.060	1.071	1.47e-79
ACCS	ENSG00000110455.13	5.320	21.440	-1.828	2.83e-71
ACE2	ENSG00000130234.10	11.350	1.060	2.584	4.67e-35
ACKR1	ENSG00000213088.9	2.560	36.289	-3.389	6.00e-110
ACKR3	ENSG00000144476.5	10.250	23.681	-1.133	5.58e-38
ACLY	ENSG00000131473.16	59.829	24.240	1.269	2.67e-97
ACOT7	ENSG00000097021.19	62.682	27.200	1.175	9.25e-68
ACOX2	ENSG00000168306.12	11.950	25.610	-1.039	7.93e-34
ACP1	ENSG00000143727.15	106.159	50.240	1.064	1.67e-98
ACP5	ENSG00000102575.10	31.380	13.330	1.176	1.97e-23
ACPP	ENSG00000014257.15	2.710	0.850	1.004	3.79e-28
ACSL3	ENSG00000123983.13	45.911	22.050	1.025	5.09e-70
ACSL5	ENSG00000197142.10	134.019	15.070	3.071	8.96e-60
ACSM5	ENSG00000183549.10	0.100	2.130	-1.509	1.31e-97
ACSS3	ENSG00000111058.7	0.460	1.950	-1.015	3.19e-47
ACTA1	ENSG00000143632.14	0.060	2.770	-1.830	1.11e-79
ACTA2	ENSG00000107796.12	167.022	1263.841	-2.912	4.99e-53
ACTA2-AS1	ENSG00000180139.11	0.980	22.850	-3.590	1.05e-103
ACTC1	ENSG00000159251.6	0.390	2.270	-1.234	1.09e-28
ACTG1	ENSG00000184009.9	3175.129	1205.151	1.397	4.03e-51
ACTG2	ENSG00000163017.13	29.181	3895.518	-7.012	1.41e-90
ACTL10	ENSG00000182584.4	3.390	0.820	1.270	1.01e-117
ACTL6A	ENSG00000136518.16	58.020	26.729	1.090	2.19e-101
ACTN1	ENSG00000072110.13	110.468	368.979	-1.731	3.88e-17
ACTR2	ENSG00000138071.13	106.528	43.230	1.282	8.44e-80
ACTR3	ENSG00000115091.11	145.280	60.488	1.250	9.48e-66
ACVR1B	ENSG00000135503.12	22.050	10.490	1.004	9.03e-34
ACY1	ENSG00000243989.7	70.131	14.390	2.208	4.54e-52
ACY3	ENSG00000132744.7	7.120	0.960	2.051	7.84e-51
ADAM10	ENSG00000137845.14	33.321	15.260	1.078	4.21e-45
ADAM11	ENSG00000073670.13	0.080	1.580	-1.256	1.65e-74
ADAM12	ENSG00000148848.14	2.410	0.180	1.531	3.89e-75
ADAM33	ENSG00000149451.17	0.610	99.947	-5.970	2.11e-160
ADAMDEC1	ENSG00000134028.14	10.230	22.710	-1.078	2.38e-2
ADAMTS1	ENSG00000154734.14	4.110	32.549	-2.715	4.55e-90
ADAMTS10	ENSG00000142303.13	1.310	16.979	-2.960	1.10e-110
ADAMTS8	ENSG00000134917.9	0.390	6.450	-2.422	2.17e-77
ADAMTS9-AS1	ENSG00000241158.5	0.120	12.740	-3.617	4.70e-93
ADAMTS9-AS2	ENSG00000241684.5	0.060	3.230	-1.997	5.18e-105
ADAMTSL1	ENSG00000178031.15	0.780	3.490	-1.335	4.36e-92
ADAMTSL3	ENSG00000156218.12	0.240	6.580	-2.612	1.80e-82
ADAMTSL4	ENSG00000143382.13	2.520	27.380	-3.011	6.75e-129
ADAP1	ENSG00000105963.13	90.358	40.649	1.133	2.40e-40
ADARB1	ENSG00000197381.15	2.940	17.579	-2.237	1.11e-65
ADARB2	ENSG00000185736.15	0.080	1.400	-1.152	5.66e-74
ADCY2	ENSG00000078295.15	0.420	4.420	-1.932	4.62e-78
ADCY4	ENSG00000129467.13	2.860	17.340	-2.248	5.27e-101
ADCY5	ENSG00000173175.14	0.720	23.730	-3.846	4.54e-145
ADCYAP1R1	ENSG00000078549.14	0.020	3.070	-1.996	7.61e-93
ADD1	ENSG00000087274.16	69.579	147.206	-1.070	1.25e-48
ADGRA2	ENSG00000020181.17	5.930	13.610	-1.076	1.25e-22
ADGRB1	ENSG00000181790.10	0.130	1.270	-1.006	1.14e-101
ADGRB3	ENSG00000135298.13	0.030	1.720	-1.401	1.95e-85
ADGRD1	ENSG00000111452.12	0.840	7.670	-2.236	1.49e-101
ADGRE5	ENSG00000123146.19	87.039	40.641	1.080	5.36e-62
ADGRF4	ENSG00000153294.11	1.800	0.150	1.284	6.35e-73
ADGRG1	ENSG00000205336.11	101.110	18.360	2.399	8.39e-143
ADGRG5	ENSG00000159618.15	2.020	0.380	1.130	1.60e-52
ADGRL2	ENSG00000117114.19	2.790	12.260	-1.807	6.50e-82
ADGRL3	ENSG00000150471.15	0.250	1.690	-1.106	1.60e-109
ADH1B	ENSG00000196616.12	0.550	140.838	-6.516	3.75e-214
ADH1C	ENSG00000248144.5	7.690	18.260	-1.148	4.12e-17
ADHFE1	ENSG00000147576.15	0.380	19.390	-3.885	5.04e-193
ADIRF-AS1	ENSG00000272734.1	1.360	5.820	-1.531	2.90e-58
ADK	ENSG00000156110.13	29.459	10.920	1.354	7.79e-122
ADM	ENSG00000148926.9	14.690	31.210	-1.038	7.86e-22
ADM2	ENSG00000128165.8	2.880	0.280	1.600	1.80e-107
ADORA2B	ENSG00000170425.3	11.830	3.420	1.537	2.39e-33
ADRM1	ENSG00000130706.12	141.650	66.652	1.076	7.91e-79
ADSSL1	ENSG00000185100.10	1.250	4.280	-1.231	1.27e-65
AEN	ENSG00000181026.14	16.700	6.880	1.168	2.14e-81
AF001548.3	ENSG00000280429.1	0.000	1.110	-1.077	3.77e-61
AF064858.6	ENSG00000205622.9	2.410	0.500	1.185	8.50e-48
AF131215.9	ENSG00000269918.1	0.370	1.800	-1.031	9.67e-68
AFF3	ENSG00000144218.18	0.140	2.920	-1.782	9.74e-125
AFG3L1P	ENSG00000223959.8	8.290	17.720	-1.011	1.29e-41
AFMID	ENSG00000183077.15	41.069	15.710	1.332	4.94e-109
AGAP11	ENSG00000271880.1	0.110	1.930	-1.400	3.44e-97
AGAP4	ENSG00000188234.13	4.820	13.190	-1.286	2.42e-59
AGAP6	ENSG00000204149.9	6.040	16.440	-1.309	1.40e-54
AGAP9	ENSG00000204172.11	3.480	10.510	-1.361	7.87e-54
AGER	ENSG00000204305.13	1.920	9.880	-1.898	1.36e-89
AGMAT	ENSG00000116771.5	16.800	0.610	3.467	1.06e-103
AGPAT2	ENSG00000169692.12	116.840	46.000	1.326	4.01e-38
AGPAT4	ENSG00000026652.13	1.170	3.650	-1.100	1.40e-43
AGPAT5	ENSG00000155189.11	16.130	4.980	1.518	8.48e-85
AGPAT9	ENSG00000138678.10	2.600	6.280	-1.016	5.64e-40
AGR2	ENSG00000106541.11	591.649	32.421	4.148	1.53e-60
AGR3	ENSG00000173467.8	62.051	9.050	2.649	6.35e-18
AGRN	ENSG00000188157.13	39.251	16.190	1.227	2.02e-78
AGT	ENSG00000135744.7	10.800	2.970	1.572	7.64e-55
AGTR1	ENSG00000144891.17	0.090	11.070	-3.469	1.24e-107
AHCY	ENSG00000101444.12	235.273	52.109	2.153	2.46e-160
AHDC1	ENSG00000126705.13	3.670	10.850	-1.343	1.15e-49
AHNAK	ENSG00000124942.13	37.990	188.013	-2.277	1.53e-85
AHNAK2	ENSG00000185567.6	5.520	51.900	-3.020	5.47e-44
AHSA2	ENSG00000173209.22	15.380	62.348	-1.951	5.66e-63
AIF1L	ENSG00000126878.12	1.620	4.480	-1.065	4.37e-40
AIFM3	ENSG00000183773.15	20.019	9.080	1.060	4.09e-2
AIM1	ENSG00000112297.14	14.280	5.020	1.344	2.95e-29
AIM1L	ENSG00000176092.13	6.360	0.700	2.114	5.14e-52
AIMP2	ENSG00000106305.9	46.038	20.959	1.099	5.76e-85
AJUBA	ENSG00000129474.15	8.170	1.920	1.651	5.87e-128
AKAP12	ENSG00000131016.16	2.830	35.419	-3.249	3.66e-73
AKAP6	ENSG00000151320.10	0.390	3.070	-1.550	1.19e-65
AKAP8L	ENSG00000011243.17	27.270	66.160	-1.248	2.39e-45
AKR1B1	ENSG00000085662.13	17.920	44.839	-1.277	1.09e-48
AKR1C1	ENSG00000187134.12	3.050	18.090	-2.237	3.98e-75
AKR1C2	ENSG00000151632.16	3.020	15.860	-2.068	7.39e-71
AKR7A3	ENSG00000162482.4	23.051	4.470	2.136	2.90e-23
AKT3	ENSG00000117020.16	1.800	17.210	-2.701	9.96e-84
AL158801.1	ENSG00000279392.1	4.820	0.330	2.130	2.69e-138
AL162151.3	ENSG00000234648.1	566.329	260.763	1.116	2.54e-4
AL442127.1	ENSG00000278371.2	0.000	18.699	-4.300	1.34e-46
AL928768.3	ENSG00000253701.2	1.730	9.230	-1.906	3.01e-11
ALDH18A1	ENSG00000059573.8	60.900	17.080	1.776	1.48e-62
ALDH1A1	ENSG00000165092.12	25.210	125.078	-2.266	1.00e-60
ALDH1L1	ENSG00000144908.13	2.260	7.350	-1.357	9.58e-12
ALDH3A1	ENSG00000108602.17	4.130	1.110	1.282	5.58e-39
ALDH4A1	ENSG00000159423.16	13.840	5.100	1.283	4.75e-78
ALDH5A1	ENSG00000112294.12	7.920	3.010	1.153	7.92e-81
ALDOB	ENSG00000136872.17	9.610	0.870	2.504	4.46e-43
ALG1	ENSG00000033011.11	32.110	11.130	1.449	2.07e-119
ALG14	ENSG00000172339.9	5.870	2.190	1.107	8.38e-57
ALG1L	ENSG00000189366.9	4.680	1.100	1.435	7.78e-92
ALG3	ENSG00000214160.9	63.341	30.420	1.034	2.68e-97
ALG5	ENSG00000120697.8	61.371	22.760	1.392	6.40e-115
ALG8	ENSG00000159063.12	34.621	15.080	1.147	7.91e-111
ALOX12-AS1	ENSG00000215067.9	2.430	6.110	-1.052	3.30e-100
ALPK3	ENSG00000136383.6	0.980	4.960	-1.590	7.29e-16
ALYREF	ENSG00000183684.7	114.316	35.671	1.653	9.92e-136
AMACR	ENSG00000242110.7	39.349	8.360	2.108	2.81e-60
AMMECR1	ENSG00000101935.9	6.500	1.730	1.458	2.70e-163
AMOT	ENSG00000126016.13	7.130	2.910	1.056	2.75e-46
AMOTL1	ENSG00000166025.17	1.520	18.439	-2.948	2.18e-73
AMPH	ENSG00000078053.16	0.360	2.050	-1.165	1.10e-70
AMT	ENSG00000145020.14	7.710	36.191	-2.094	1.08e-101
AMY2B	ENSG00000240038.6	2.360	24.599	-2.930	7.95e-118
ANGPTL1	ENSG00000116194.12	0.180	25.100	-4.467	1.70e-145
ANGPTL2	ENSG00000136859.9	14.650	41.389	-1.438	2.34e-19
ANGPTL7	ENSG00000171819.4	0.020	1.420	-1.246	1.85e-64
ANK2	ENSG00000145362.16	0.710	16.680	-3.370	7.69e-115
ANK3	ENSG00000151150.20	7.630	19.910	-1.277	4.33e-74
ANKDD1A	ENSG00000166839.16	0.760	3.600	-1.386	1.14e-92
ANKEF1	ENSG00000132623.15	4.170	0.610	1.683	1.23e-135
ANKFY1	ENSG00000185722.16	8.720	19.231	-1.057	1.05e-57
ANKH	ENSG00000154122.12	65.621	14.620	2.093	8.27e-105
ANKRD12	ENSG00000101745.15	3.380	8.300	-1.086	3.20e-76
ANKRD22	ENSG00000152766.5	26.259	0.940	3.813	1.87e-111
ANKRD35	ENSG00000198483.12	0.240	3.430	-1.837	3.05e-94
ANKRD44	ENSG00000065413.16	1.690	5.770	-1.332	3.09e-72
ANKRD53	ENSG00000144031.11	0.120	1.800	-1.322	1.23e-122
ANKRD6	ENSG00000135299.16	0.750	4.620	-1.683	3.26e-76
ANKRD65	ENSG00000235098.8	0.820	6.910	-2.120	1.58e-77
ANKRD9	ENSG00000156381.8	8.520	19.740	-1.123	2.25e-62
ANKS1B	ENSG00000185046.18	0.130	2.450	-1.610	3.32e-85
ANKS4B	ENSG00000175311.6	12.750	0.950	2.818	1.96e-47
ANLN	ENSG00000011426.10	17.850	1.420	2.961	5.54e-214
ANO5	ENSG00000171714.10	0.080	1.920	-1.435	7.72e-160
ANO9	ENSG00000185101.12	54.481	15.720	1.730	3.31e-27
ANOS1	ENSG00000011201.10	1.760	0.210	1.190	2.97e-84
ANP32A	ENSG00000140350.15	130.707	59.552	1.121	3.66e-73
ANTXR2	ENSG00000163297.16	25.370	70.058	-1.430	1.76e-53
ANXA13	ENSG00000104537.16	13.590	3.830	1.595	1.21e-27
ANXA2	ENSG00000182718.16	924.480	340.355	1.439	2.36e-69
ANXA2P2	ENSG00000231991.4	20.619	3.520	2.258	1.13e-140
ANXA3	ENSG00000138772.12	77.219	21.080	1.825	3.07e-101
ANXA4	ENSG00000196975.14	206.771	50.829	2.003	3.64e-107
ANXA6	ENSG00000197043.13	53.319	143.359	-1.410	1.05e-18
ANXA8L1	ENSG00000264230.7	0.080	1.490	-1.205	2.56e-53
ANXA9	ENSG00000143412.9	3.480	1.040	1.135	9.26e-103
AOAH	ENSG00000136250.11	18.830	4.570	1.832	2.27e-41
AOC1	ENSG00000002726.19	83.400	6.940	3.410	9.41e-31
AOC3	ENSG00000131471.6	5.930	123.297	-4.165	1.03e-93
AOC4P	ENSG00000260105.6	0.060	2.130	-1.562	5.10e-73
AOX1	ENSG00000138356.13	0.630	6.430	-2.188	1.34e-97
AP000275.65	ENSG00000265590.9	3.400	1.200	1.000	9.89e-27
AP000347.2	ENSG00000272578.5	0.780	2.830	-1.105	2.10e-90
AP000347.4	ENSG00000234353.2	0.840	3.360	-1.245	2.51e-69
AP000349.2	ENSG00000280178.1	9.600	0.230	3.107	6.37e-136
AP000439.3	ENSG00000255774.1	4.610	0.340	2.066	4.46e-14
AP000892.6	ENSG00000280143.1	3.570	77.278	-4.098	5.76e-94
AP001347.6	ENSG00000224905.6	0.130	1.390	-1.081	3.41e-51
AP003391.1	ENSG00000281272.1	23.801	0.000	4.632	9.48e-52
AP003774.1	ENSG00000236935.1	11.900	1.010	2.682	2.47e-31
AP006621.5	ENSG00000255284.1	3.260	7.920	-1.066	9.28e-43
AP1M2	ENSG00000129354.11	103.299	4.050	4.368	3.74e-76
AP1S1	ENSG00000106367.13	123.570	24.050	2.314	1.98e-127
AP1S2	ENSG00000182287.13	10.300	24.070	-1.150	2.51e-29
AP1S3	ENSG00000152056.16	6.000	0.510	2.213	6.43e-183
AP3B2	ENSG00000103723.12	0.110	2.230	-1.541	6.48e-81
APBB1	ENSG00000166313.18	3.400	43.030	-3.323	1.33e-107
APBB3	ENSG00000113108.17	6.020	32.360	-2.249	7.05e-109
APEH	ENSG00000164062.12	122.708	56.849	1.097	6.62e-63
APEX2	ENSG00000169188.4	19.160	6.840	1.363	1.12e-118
APH1A	ENSG00000117362.12	142.576	65.172	1.118	4.14e-63
APLN	ENSG00000171388.11	2.740	0.410	1.407	3.23e-79
APLP1	ENSG00000105290.11	1.150	5.020	-1.485	1.21e-58
APMAP	ENSG00000101474.11	75.441	32.479	1.191	1.17e-78
APOBEC1	ENSG00000111701.6	5.950	0.180	2.558	1.60e-71
APOBEC3B	ENSG00000179750.15	8.220	0.980	2.219	2.13e-29
APOBR	ENSG00000184730.10	11.530	4.310	1.239	1.55e-5
APOC1	ENSG00000130208.9	52.859	10.930	2.175	5.16e-61
APOC2	ENSG00000234906.8	3.670	0.240	1.913	1.58e-103
APOC4-APOC2	ENSG00000224916.8	6.770	0.540	2.335	1.17e-96
APOD	ENSG00000189058.8	7.360	74.480	-3.175	6.95e-80
APRT	ENSG00000198931.10	218.895	90.233	1.269	1.16e-71
AQP1	ENSG00000240583.10	24.150	82.801	-1.736	3.49e-38
AQP7	ENSG00000165269.12	1.400	4.280	-1.137	4.51e-29
AQP8	ENSG00000103375.10	0.600	3.630	-1.533	7.44e-18
ARAP1-AS1	ENSG00000256007.1	2.720	0.000	1.895	4.98e-25
AREG	ENSG00000109321.10	75.462	5.660	3.521	6.66e-100
ARF6	ENSG00000165527.6	52.599	25.400	1.022	6.02e-46
ARFGEF3	ENSG00000112379.8	4.180	0.900	1.447	5.47e-96
ARGLU1	ENSG00000134884.13	56.500	160.551	-1.490	2.37e-41
ARHGAP10	ENSG00000071205.11	2.820	27.830	-2.916	3.33e-87
ARHGAP11A	ENSG00000198826.10	10.990	1.230	2.427	1.46e-140
ARHGAP18	ENSG00000146376.10	15.260	4.650	1.525	2.53e-108
ARHGAP23	ENSG00000275832.4	5.380	17.240	-1.515	3.20e-23
ARHGAP24	ENSG00000138639.17	1.920	5.090	-1.060	7.26e-40
ARHGAP33	ENSG00000004777.18	3.600	13.370	-1.643	1.70e-60
ARHGAP6	ENSG00000047648.21	1.080	9.240	-2.299	8.10e-61
ARHGAP8	ENSG00000241484.9	25.080	3.390	2.571	9.13e-65
ARHGDIG	ENSG00000242173.8	1.360	3.770	-1.015	1.60e-8
ARHGEF16	ENSG00000130762.14	26.319	6.220	1.920	7.46e-30
ARHGEF17	ENSG00000110237.3	4.820	47.310	-3.053	7.37e-85
ARHGEF25	ENSG00000240771.6	3.290	97.673	-4.524	1.21e-116
ARHGEF26	ENSG00000114790.12	1.290	21.750	-3.312	6.98e-97
ARHGEF26-AS1	ENSG00000243069.7	0.050	1.810	-1.420	3.90e-76
ARHGEF34P	ENSG00000204959.4	5.890	2.330	1.049	9.75e-39
ARHGEF35	ENSG00000213214.4	15.330	1.770	2.560	3.08e-58
ARHGEF37	ENSG00000183111.11	2.730	11.060	-1.693	7.10e-104
ARHGEF38	ENSG00000236699.8	3.110	0.470	1.483	2.07e-83
ARHGEF4	ENSG00000136002.16	0.980	9.250	-2.372	7.28e-53
ARHGEF5	ENSG00000050327.14	19.981	9.030	1.065	1.53e-44
ARHGEF6	ENSG00000129675.15	1.940	7.610	-1.550	2.23e-81
ARID3A	ENSG00000116017.10	7.640	2.900	1.148	2.03e-67
ARL10	ENSG00000175414.6	0.490	2.970	-1.414	2.00e-65
ARL14	ENSG00000179674.3	6.550	2.030	1.317	1.74e-6
ARL4D	ENSG00000175906.4	1.650	14.500	-2.548	1.15e-81
ARL6IP1	ENSG00000170540.14	166.087	45.911	1.833	1.18e-117
ARMC10	ENSG00000170632.13	45.670	18.731	1.242	5.43e-128
ARMC6	ENSG00000105676.13	25.820	10.660	1.202	1.79e-129
ARMCX1	ENSG00000126947.11	1.820	18.980	-2.825	1.33e-104
ARMCX2	ENSG00000184867.13	3.810	20.959	-2.191	4.19e-60
ARMCX4	ENSG00000196440.11	1.930	12.280	-2.180	3.92e-102
ARNT2	ENSG00000172379.18	0.820	3.000	-1.136	9.64e-33
ARNTL	ENSG00000133794.17	4.020	12.620	-1.440	6.76e-95
ARNTL2	ENSG00000029153.14	5.980	1.130	1.712	1.66e-105
ARPC1B	ENSG00000130429.12	239.452	104.661	1.186	1.67e-69
ARPC3	ENSG00000111229.15	345.369	166.386	1.049	3.84e-58
ARPC5	ENSG00000162704.15	155.977	74.299	1.060	2.18e-58
ARRDC4	ENSG00000140450.8	7.580	26.650	-1.688	4.76e-99
ARSD	ENSG00000006756.15	24.849	8.300	1.475	1.20e-48
ARSE	ENSG00000157399.14	37.041	3.160	3.193	2.70e-64
AS3MT	ENSG00000214435.7	0.910	3.050	-1.084	2.68e-42
ASAP3	ENSG00000088280.18	3.850	17.259	-1.913	2.71e-140
ASB2	ENSG00000100628.11	0.990	35.451	-4.195	5.08e-121
ASB5	ENSG00000164122.8	0.000	2.370	-1.753	5.68e-67
ASB9	ENSG00000102048.15	5.380	0.850	1.786	1.50e-122
ASCL2	ENSG00000183734.4	48.240	0.740	4.823	3.62e-171
ASF1B	ENSG00000105011.8	26.620	1.110	3.710	5.93e-143
ASIC3	ENSG00000213199.7	0.600	6.290	-2.188	3.92e-91
ASL	ENSG00000126522.16	77.000	32.561	1.217	1.58e-29
ASMTL-AS1	ENSG00000236017.7	3.290	11.820	-1.579	3.18e-49
ASPA	ENSG00000108381.10	0.100	1.910	-1.403	7.00e-131
